dataset_index,unrelated_index,shuffled_blur_index,paired_clean_blur__positive_jaccard,paired_clean_blur__weighted_jaccard,paired_clean_blur__cosine_similarity,paired_clean_blur__top16_jaccard,paired_clean_blur__top32_jaccard,paired_clean_blur__top64_jaccard,paired_clean_blur__top128_jaccard,unrelated_clean_clean__positive_jaccard,unrelated_clean_clean__weighted_jaccard,unrelated_clean_clean__cosine_similarity,unrelated_clean_clean__top16_jaccard,unrelated_clean_clean__top32_jaccard,unrelated_clean_clean__top64_jaccard,unrelated_clean_clean__top128_jaccard,unrelated_clean_blur__positive_jaccard,unrelated_clean_blur__weighted_jaccard,unrelated_clean_blur__cosine_similarity,unrelated_clean_blur__top16_jaccard,unrelated_clean_blur__top32_jaccard,unrelated_clean_blur__top64_jaccard,unrelated_clean_blur__top128_jaccard,shuffled_clean_blur__positive_jaccard,shuffled_clean_blur__weighted_jaccard,shuffled_clean_blur__cosine_similarity,shuffled_clean_blur__top16_jaccard,shuffled_clean_blur__top32_jaccard,shuffled_clean_blur__top64_jaccard,shuffled_clean_blur__top128_jaccard
0,242,756,0.9896824955940247,0.765081524848938,0.9402468800544739,0.41559600830078125,0.39000171422958374,0.3816892206668854,0.39720016717910767,0.9787413477897644,0.5932864546775818,0.7992933392524719,0.03171798959374428,0.04177037999033928,0.0539357028901577,0.08805767446756363,0.97899329662323,0.6039746403694153,0.8007350564002991,0.043947502970695496,0.05184127762913704,0.060992930084466934,0.09232862293720245,0.9752077460289001,0.5996025204658508,0.789211630821228,0.06063487380743027,0.057189200073480606,0.06485199183225632,0.09910991787910461
1,68,708,0.9762938022613525,0.5753711462020874,0.8349980711936951,0.21853460371494293,0.20488594472408295,0.21073266863822937,0.23101918399333954,0.9800922274589539,0.609878420829773,0.8066422939300537,0.0608997568488121,0.06098707765340805,0.06755857914686203,0.09701115638017654,0.9803310632705688,0.6104759573936462,0.8078935146331787,0.05483280122280121,0.06159475818276405,0.07243937253952026,0.10220887511968613,0.9821417331695557,0.6096481084823608,0.812008261680603,0.03992791473865509,0.047325823456048965,0.060022059828042984,0.09920155256986618
2,44,731,0.990248441696167,0.7434077858924866,0.9290894865989685,0.39746910333633423,0.3736567497253418,0.3632042407989502,0.3791837692260742,0.978283166885376,0.5881931185722351,0.7977631688117981,0.03786889463663101,0.043640218675136566,0.06059807911515236,0.09827212989330292,0.9809669852256775,0.5979516506195068,0.80748450756073,0.046972885727882385,0.04918081685900688,0.06081889942288399,0.09661761671304703,0.9823319911956787,0.5887735486030579,0.784212052822113,0.03094794973731041,0.036520011723041534,0.044899892061948776,0.08354950696229935
3,228,307,0.9902496337890625,0.7570000290870667,0.9321320056915283,0.25943872332572937,0.2589752674102783,0.28361400961875916,0.3338322043418884,0.9755382537841797,0.6265950798988342,0.8064310550689697,0.045414675027132034,0.050120759755373,0.06308069825172424,0.09618833661079407,0.977706253528595,0.6106740832328796,0.8084676265716553,0.03782281652092934,0.0424809604883194,0.057591818273067474,0.09410460293292999,0.983802318572998,0.6073527336120605,0.8302170634269714,0.04189468175172806,0.04781998321413994,0.058636050671339035,0.09501299262046814
4,219,77,0.9926735758781433,0.8088231682777405,0.9589828252792358,0.44943976402282715,0.43624407052993774,0.4565911591053009,0.4866839051246643,0.9825643301010132,0.6134821176528931,0.81992506980896,0.05382185056805611,0.05719198286533356,0.07120121270418167,0.10292583703994751,0.981105625629425,0.6058819890022278,0.8188406229019165,0.07754305005073547,0.0828021988272667,0.09045209735631943,0.11785883456468582,0.9807743430137634,0.6250864267349243,0.8248873949050903,0.07985171675682068,0.09157255291938782,0.10797405242919922,0.14233893156051636
5,487,324,0.9899649620056152,0.7632525563240051,0.9289411902427673,0.4648568332195282,0.42960575222969055,0.41015225648880005,0.4352462887763977,0.9773311614990234,0.5862632989883423,0.7868502736091614,0.03477399796247482,0.03695182502269745,0.04416897892951965,0.07860767841339111,0.9764938354492188,0.5929170846939087,0.7869618535041809,0.03845446929335594,0.04201254993677139,0.05136008560657501,0.08497746288776398,0.9822728633880615,0.620959460735321,0.8183342218399048,0.0646180808544159,0.07577965408563614,0.08125679939985275,0.10854583978652954
6,670,588,0.9894883632659912,0.748348593711853,0.9366160035133362,0.29622596502304077,0.3070674538612366,0.31975242495536804,0.35828056931495667,0.971335232257843,0.6162190437316895,0.793026864528656,0.04666726663708687,0.0445803701877594,0.05796479061245918,0.09366399049758911,0.973412036895752,0.6140022873878479,0.7995972633361816,0.05008404329419136,0.04833066463470459,0.059911757707595825,0.0928354263305664,0.9649638533592224,0.5892254710197449,0.763665497303009,0.061982885003089905,0.05679158493876457,0.06410051882266998,0.09483189135789871
7,137,54,0.9915677905082703,0.7253867983818054,0.9280910491943359,0.35150566697120667,0.31138667464256287,0.29350435733795166,0.3186032772064209,0.9840839505195618,0.6302888989448547,0.8304826021194458,0.09505254030227661,0.08207263797521591,0.08789344877004623,0.1177104040980339,0.9855159521102905,0.6344548463821411,0.8382729887962341,0.10700216144323349,0.09420014917850494,0.09560726583003998,0.11985217779874802,0.9808719754219055,0.6285974979400635,0.8205971121788025,0.0882493108510971,0.0710279792547226,0.07305251806974411,0.09938786923885345
8,507,945,0.992250382900238,0.8016659021377563,0.9474242925643921,0.42393943667411804,0.3985159695148468,0.4029400944709778,0.4476635754108429,0.9794139862060547,0.6131411194801331,0.804553747177124,0.06442371755838394,0.06645093113183975,0.07143497467041016,0.09982325881719589,0.9819621443748474,0.6163986921310425,0.8130427598953247,0.06121375411748886,0.06779301911592484,0.07432452589273453,0.1029449924826622,0.9838200807571411,0.6175529360771179,0.8292421698570251,0.04412778094410896,0.044170450419187546,0.058230821043252945,0.09563347697257996
9,149,519,0.9861941933631897,0.7375522255897522,0.9178351163864136,0.2483564019203186,0.2629256546497345,0.2915840446949005,0.3447236716747284,0.9827125668525696,0.6220302581787109,0.8289886713027954,0.03783953934907913,0.043566152453422546,0.05719859153032303,0.09308361262083054,0.9836273193359375,0.6166365146636963,0.8247123956680298,0.04007139429450035,0.04062249884009361,0.055490102618932724,0.09100721031427383,0.9801384210586548,0.6016667485237122,0.8134385347366333,0.04793187603354454,0.04524192959070206,0.05438289791345596,0.09126900136470795
