intervention_name,num_features,n_samples,mean_true_logit_change,median_true_logit_change,mean_margin_change,median_margin_change,margin_change_95CI_low,margin_change_95CI_high,percent_margin_improved,num_predictions_recovered,recovery_rate,paired_pvalue,effect_size,random_control_mean,random_control_std,random_empirical_pvalue,magnitude_matched_control_mean,magnitude_matched_control_std,magnitude_matched_empirical_pvalue
candidate_6730,1,12,0.02462079127629598,0.0283280611038208,0.030391355355580647,0.01831519603729248,0.008497260014216105,0.05652600675821302,83.33333333333334,0,0.0,0.02685546875,0.6830237659931307,,,,,,
candidate_3122,1,12,0.0056909918785095215,-0.0025463104248046875,0.003252128760019938,-0.0008704662322998047,-0.011046993732452394,0.01710343360900879,41.66666666666667,0,0.0,0.791015625,0.12572022386865814,,,,,,
candidate_22739,1,12,0.1892738938331604,0.17649531364440918,0.016908586025238037,0.05055999755859375,-0.1305450275540352,0.14190752009550728,66.66666666666666,0,0.0,0.5693359375,0.06679634077280985,,,,,,
candidate_6966,1,12,0.30528030792872113,0.14559626579284668,0.17055557171503702,0.06701993942260742,-0.021222665905952454,0.3818620890378952,66.66666666666666,1,0.08333333333333333,0.26611328125,0.4377591394348311,,,,,,
candidate_top_1,1,12,0.02462079127629598,0.0283280611038208,0.030391355355580647,0.01831519603729248,0.008497260014216105,0.05652600675821302,83.33333333333334,0,0.0,0.02685546875,0.6830237659931307,,,,,,
candidate_top_2,2,12,0.030085583527882893,0.018706321716308594,0.03337786595026652,0.02679586410522461,0.0041513075431187955,0.06521219114462534,83.33333333333334,0,0.0,0.05224609375,0.5855497975979622,,,,,,
candidate_top_3,3,12,0.22266538937886557,0.17253565788269043,0.05373668670654297,0.07680749893188477,-0.10270792196194331,0.1948562820752461,75.0,0,0.0,0.38037109375,0.19515950655189798,,,,,,
candidate_top_4,4,12,0.4512990117073059,0.22638654708862305,0.23345897595087686,0.14794611930847168,-0.07033862719933193,0.5545474474628765,83.33333333333334,1,0.08333333333333333,0.12939453125,0.3887267983725196,0.025291605790456133,0.034807898863385166,0.16666666666666666,0.011341730753580729,0.0,0.16666666666666666
global_top_1,1,12,0.02462079127629598,0.0283280611038208,0.030391355355580647,0.01831519603729248,0.008497260014216105,0.05652600675821302,83.33333333333334,0,0.0,0.02685546875,0.6830237659931307,0.0012216687202453614,0.004159517585610069,0.16666666666666666,0.003201762835184733,0.0,0.16666666666666666
global_top_2,2,12,0.030085583527882893,0.018706321716308594,0.03337786595026652,0.02679586410522461,0.0041513075431187955,0.06521219114462534,83.33333333333334,0,0.0,0.05224609375,0.5855497975979622,0.006793093681335449,0.007521675516743746,0.16666666666666666,0.025235235691070557,0.0,0.16666666666666666
global_top_4,4,12,0.4512990117073059,0.22638654708862305,0.23345897595087686,0.14794611930847168,-0.07033862719933193,0.5545474474628765,83.33333333333334,1,0.08333333333333333,0.12939453125,0.3887267983725196,0.02183289130528768,0.012283397601666057,0.16666666666666666,0.011341730753580729,0.0,0.16666666666666666
global_top_8,8,12,0.4315257668495178,0.2237229347229004,0.16725919644037882,0.09710168838500977,-0.10059157858292261,0.44123306324084594,75.0,1,0.08333333333333333,0.2333984375,0.3252722021877372,0.055939745903015134,0.018840596692247132,0.16666666666666666,0.12740355730056763,0.0,0.16666666666666666
global_top_16,16,12,0.48209842046101886,0.20807218551635742,0.24943284193674722,0.16399431228637695,-0.02207206586996714,0.5305303240815797,83.33333333333334,1,0.08333333333333333,0.12939453125,0.47230248684379184,0.06589098374048868,0.031172198769374274,0.16666666666666666,0.19668549299240112,0.0,0.16666666666666666
global_top_32,32,12,0.5584069490432739,0.3224673271179199,0.3348180452982585,0.23639583587646484,0.05117537379264831,0.6251893604795138,83.33333333333334,3,0.25,0.09228515625,0.6176374794026351,0.18210166295369465,0.154402006610009,0.3333333333333333,0.25257925192515057,0.0,0.16666666666666666
