intervention_name,num_features,n_samples,mean_true_logit_change,median_true_logit_change,mean_margin_change,median_margin_change,margin_change_95CI_low,margin_change_95CI_high,percent_margin_improved,num_predictions_recovered,recovery_rate,paired_pvalue,effect_size,random_control_mean,random_control_std,random_empirical_pvalue,magnitude_matched_control_mean,magnitude_matched_control_std,magnitude_matched_empirical_pvalue
candidate_6730,1,190,0.0027930549885097303,-0.00034236907958984375,0.004861637165671901,0.0004467964172363281,-3.1880108933699754e-05,0.009982741224138354,52.10526315789473,2,0.010526315789473684,0.25143073380984793,0.136893270324998,,,,,,
candidate_3122,1,190,0.0003562248066851967,0.0006983280181884766,-0.0003788157513267116,-0.000331878662109375,-0.004359397950925325,0.0034784140084919172,48.94736842105264,2,0.010526315789473684,0.9061342271870453,-0.01390587422351461,,,,,,
candidate_22739,1,190,0.1502549471039521,0.05138969421386719,0.016875827939886796,0.008374691009521484,-0.01708893063821291,0.050823729132351114,56.84210526315789,6,0.031578947368421054,0.12497423413158068,0.06858290725704597,,,,,,
candidate_6966,1,190,0.21598702151524393,0.11778473854064941,0.1061906852220234,0.031711578369140625,0.0677492597542311,0.15018441906100816,62.10526315789474,9,0.04736842105263158,6.840446233252346e-06,0.3476961672462116,,,,,,
candidate_top_1,1,190,0.0027930549885097303,-0.00034236907958984375,0.004861637165671901,0.0004467964172363281,-3.1880108933699754e-05,0.009982741224138354,52.10526315789473,2,0.010526315789473684,0.25143073380984793,0.136893270324998,,,,,,
candidate_top_2,2,190,0.003127214939970719,0.0010540485382080078,0.004519068567376387,0.004022836685180664,-0.0014620713497463026,0.010617306483419318,55.26315789473685,3,0.015789473684210527,0.10246109234663418,0.10665374044574955,,,,,,
candidate_top_3,3,190,0.15468728777609372,0.06254029273986816,0.021524520924216823,0.014984130859375,-0.012518272995948791,0.05532147658498661,58.42105263157895,8,0.042105263157894736,0.05617030984699732,0.08673171309228729,,,,,,
candidate_top_4,4,190,0.314585469114153,0.14810466766357422,0.14114411002711247,0.052019596099853516,0.08091545886115024,0.2074303775084646,66.3157894736842,11,0.05789473684210526,4.5854184123552495e-06,0.3043701724956357,0.03655895057477449,nan,0.5,0.09455792025515908,nan,0.5
global_top_1,1,190,0.0027930549885097303,-0.00034236907958984375,0.004861637165671901,0.0004467964172363281,-3.1880108933699754e-05,0.009982741224138354,52.10526315789473,2,0.010526315789473684,0.25143073380984793,0.136893270324998,0.0016613784589265522,nan,0.5,0.005792209976597836,nan,1.0
global_top_2,2,190,0.003127214939970719,0.0010540485382080078,0.004519068567376387,0.004022836685180664,-0.0014620713497463026,0.010617306483419318,55.26315789473685,3,0.015789473684210527,0.10246109234663418,0.10665374044574955,0.008452864697105007,nan,1.0,0.010895008789865594,nan,1.0
global_top_4,4,190,0.314585469114153,0.14810466766357422,0.14114411002711247,0.052019596099853516,0.08091545886115024,0.2074303775084646,66.3157894736842,11,0.05789473684210526,4.5854184123552495e-06,0.3043701724956357,0.014221749807658949,nan,0.5,0.09455792025515908,nan,0.5
global_top_8,8,190,0.3096927882809388,0.1420508325099945,0.11982690158643221,0.04328656196594238,0.06522480710556633,0.18192656030780388,66.84210526315789,11,0.05789473684210526,1.208402023428313e-05,0.28717622539688475,0.04716521187832481,nan,0.5,0.19427672185395894,nan,1.0
global_top_16,16,190,0.35356229182920956,0.18404729664325714,0.17488506342235363,0.08170580863952637,0.11673442696270189,0.2388244379194159,65.78947368421053,11,0.05789473684210526,2.0632945569751162e-08,0.3927244998914955,0.06649862716072484,nan,0.5,0.23283596791719136,nan,1.0
global_top_32,32,190,0.4096303768848118,0.23403120040893555,0.24406937423505282,0.16309189796447754,0.18357167256505866,0.3098361654658066,75.78947368421053,17,0.08947368421052632,1.0284872636755721e-14,0.5336897140218623,0.11273678227474815,nan,0.5,0.31255210700787994,nan,1.0
global_top_64,64,190,0.41257204146761645,0.2894238233566284,0.2573100767637554,0.20110559463500977,0.19988070011138917,0.31924327900535177,74.21052631578947,16,0.08421052631578947,2.136380445151382e-14,0.6013063234114328,0.2751396618391338,nan,1.0,0.5856157980467144,nan,1.0
