feature_index,mean_clean_activation,mean_blur_activation,mean_blur_minus_clean,standardized_change,direction_consistency,mean_change_correct_correct,mean_change_correct_wrong,failure_group_difference,pearson_delta_margin,pearson_pvalue,pearson_qvalue,affine_scale,affine_intercept
8020,0.0,3.0856503515827415e-08,3.085650490675107e-08,0.0003085650490675107,0.0002,0.0,2.3235318735714827e-07,2.3235318735714827e-07,-0.004681311547756195,0.7406895160675049,0.9975714498509674,0.0,0.0
8021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8026,9.656847739706234e-07,0.0,-9.656847623773501e-07,-0.0010101530478094309,0.0002,-1.4469354709945037e-06,0.0,1.4469354709945037e-06,-0.006730378605425358,0.6342167258262634,0.9975714498509674,0.0,9.656847623773501e-07
8027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8030,2.130478742171307e-06,1.287456921168736e-06,-8.43021723540005e-07,-0.0004854529998673523,0.0002,-1.2631431900445023e-06,0.0,1.2631431900445023e-06,-0.005013685207813978,0.7230121493339539,0.9975714498509674,-3.887653747369768e-06,2.1304838355717948e-06
8031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8040,9.405651871038943e-07,0.0,-9.405652008354082e-07,-0.0013391478363993013,0.0002,-1.4092976243773592e-06,0.0,1.4092976243773592e-06,-0.003887495957314968,0.7834526300430298,0.9975714498509674,0.0,9.405652008354082e-07
