dataset_index,unrelated_index,shuffled_blur_index,paired_clean_blur__positive_jaccard,paired_clean_blur__weighted_jaccard,paired_clean_blur__cosine_similarity,paired_clean_blur__top16_jaccard,paired_clean_blur__top32_jaccard,paired_clean_blur__top64_jaccard,paired_clean_blur__top128_jaccard,unrelated_clean_clean__positive_jaccard,unrelated_clean_clean__weighted_jaccard,unrelated_clean_clean__cosine_similarity,unrelated_clean_clean__top16_jaccard,unrelated_clean_clean__top32_jaccard,unrelated_clean_clean__top64_jaccard,unrelated_clean_clean__top128_jaccard,unrelated_clean_blur__positive_jaccard,unrelated_clean_blur__weighted_jaccard,unrelated_clean_blur__cosine_similarity,unrelated_clean_blur__top16_jaccard,unrelated_clean_blur__top32_jaccard,unrelated_clean_blur__top64_jaccard,unrelated_clean_blur__top128_jaccard,shuffled_clean_blur__positive_jaccard,shuffled_clean_blur__weighted_jaccard,shuffled_clean_blur__cosine_similarity,shuffled_clean_blur__top16_jaccard,shuffled_clean_blur__top32_jaccard,shuffled_clean_blur__top64_jaccard,shuffled_clean_blur__top128_jaccard
0,1,1,0.9896824955940247,0.765081524848938,0.9402468800544739,0.41559600830078125,0.39000171422958374,0.3816892206668854,0.39720016717910767,0.9766579270362854,0.6099623441696167,0.7891635298728943,0.06364340335130692,0.07119753211736679,0.07908672839403152,0.11416236311197281,0.9740250706672668,0.5240758657455444,0.7941851019859314,0.05745258182287216,0.06965215504169464,0.0806012749671936,0.11408009380102158,0.9740250706672668,0.5240758657455444,0.7941851019859314,0.05745258182287216,0.06965215504169464,0.0806012749671936,0.11408009380102158
1,2,5,0.9762938022613525,0.5753711462020874,0.8349980711936951,0.21853460371494293,0.20488594472408295,0.21073266863822937,0.23101918399333954,0.9778730273246765,0.5907768607139587,0.7798293828964233,0.03141254186630249,0.03982895240187645,0.05325132980942726,0.09445136785507202,0.9790911078453064,0.5926550030708313,0.7853338718414307,0.04702256619930267,0.053348518908023834,0.061931222677230835,0.0984669029712677,0.979676365852356,0.595161497592926,0.7832900881767273,0.030568111687898636,0.04662425071001053,0.06597361713647842,0.0973954051733017
2,7,0,0.990248441696167,0.7434077858924866,0.9290894865989685,0.39746910333633423,0.3736567497253418,0.3632042407989502,0.3791837692260742,0.9801941514015198,0.6084824800491333,0.8088933229446411,0.09485359489917755,0.0762200728058815,0.07500462979078293,0.09972233325242996,0.9808153510093689,0.6080225110054016,0.8143928647041321,0.10456575453281403,0.08630431443452835,0.07986602187156677,0.10491540282964706,0.9758298993110657,0.598258912563324,0.7894142270088196,0.06292445957660675,0.060142725706100464,0.06930474936962128,0.10127496719360352
3,5,7,0.9902496337890625,0.7570000290870667,0.9321320056915283,0.25943872332572937,0.2589752674102783,0.28361400961875916,0.3338322043418884,0.9772992134094238,0.6027371883392334,0.7934184074401855,0.02075476013123989,0.0376846008002758,0.05365442484617233,0.08619985729455948,0.9763625860214233,0.6060455441474915,0.7867857813835144,0.023536009714007378,0.03648890182375908,0.05225054547190666,0.08414657413959503,0.9788438081741333,0.6107689738273621,0.8167394399642944,0.0543045699596405,0.05982864648103714,0.07277727127075195,0.10619790107011795
4,6,2,0.9926735758781433,0.8088231682777405,0.9589828252792358,0.44943976402282715,0.43624407052993774,0.4565911591053009,0.4866839051246643,0.9656682014465332,0.5877277255058289,0.7592788934707642,0.034882109612226486,0.046048592776060104,0.06039649620652199,0.09582319110631943,0.9658743739128113,0.5784774422645569,0.7573667764663696,0.03673510253429413,0.047907233238220215,0.0637679174542427,0.09527043998241425,0.980405330657959,0.5834206938743591,0.8006411194801331,0.061539843678474426,0.06432797759771347,0.07533016800880432,0.10463572293519974
5,4,3,0.9899649620056152,0.7632525563240051,0.9289411902427673,0.4648568332195282,0.42960575222969055,0.41015225648880005,0.4352462887763977,0.9819273948669434,0.5886896252632141,0.8036762475967407,0.038266394287347794,0.04950673505663872,0.06774036586284637,0.10117602348327637,0.9829076528549194,0.5960739850997925,0.8125583529472351,0.03881395608186722,0.05267747864127159,0.0675165206193924,0.10210393369197845,0.9790453314781189,0.6108942627906799,0.8011838793754578,0.025395972654223442,0.042704105377197266,0.058873895555734634,0.09145423769950867
6,0,4,0.9894883632659912,0.748348593711853,0.9366160035133362,0.29622596502304077,0.3070674538612366,0.31975242495536804,0.35828056931495667,0.9731242656707764,0.6087216734886169,0.8012220859527588,0.08746437728404999,0.08590631932020187,0.08128415793180466,0.10955029726028442,0.9735890626907349,0.6114500761032104,0.7995723485946655,0.08344624936580658,0.08464184403419495,0.08257179707288742,0.10771478712558746,0.9666674137115479,0.592725396156311,0.7662572264671326,0.04216541349887848,0.05133598670363426,0.06411617994308472,0.0983244925737381
7,3,6,0.9915677905082703,0.7253867983818054,0.9280910491943359,0.35150566697120667,0.31138667464256287,0.29350435733795166,0.3186032772064209,0.9782259464263916,0.6247674822807312,0.8153734803199768,0.056154657155275345,0.05666816234588623,0.06781467795372009,0.10283419489860535,0.9799606800079346,0.6276092529296875,0.8200536966323853,0.07567930966615677,0.07036297768354416,0.07251523435115814,0.10114428400993347,0.9685324430465698,0.5980824828147888,0.77463299036026,0.059224069118499756,0.0582108274102211,0.06554900854825974,0.09510133415460587
