corruption,block,baseline_accuracy,full_oracle_gain_pp,incoming_residual_gain_pp,incoming_residual_increment_pp,attention_shapley_pp,mlp_shapley_pp,incoming_residual_shapley_pp
noise,1,0.7253333333333334,8.6,1.4333333333333333,,1.2499999999999973,6.416666666666666,0.9333333333333322
noise,2,0.7253333333333334,8.6,4.433333333333334,3.0000000000000004,-0.23888888888888848,3.1777777777777736,5.661111111111111
noise,3,0.7253333333333334,8.6,5.633333333333333,1.1999999999999997,1.3333333333333308,0.8500000000000008,6.416666666666665
noise,4,0.7253333333333334,8.6,6.233333333333333,0.5999999999999999,0.9055555555555537,1.2388888888888894,6.455555555555553
noise,5,0.7253333333333334,8.6,6.0,-0.2333333333333333,1.366666666666666,1.0333333333333306,6.2
noise,6,0.7253333333333334,8.6,7.2666666666666675,1.2666666666666673,1.3611111111111092,1.1944444444444442,6.0444444444444425
blur,1,0.6556666666666666,15.566666666666668,1.0,,2.433333333333337,11.616666666666669,1.516666666666666
blur,2,0.6556666666666666,15.566666666666668,8.799999999999999,7.8,1.2944444444444425,5.561111111111116,8.711111111111114
blur,3,0.6556666666666666,15.566666666666668,11.799999999999999,3.0,3.7222222222222245,0.8388888888888927,11.005555555555555
blur,4,0.6556666666666666,15.566666666666668,14.133333333333335,2.3333333333333344,1.3888888888888895,1.1388888888888893,13.038888888888895
blur,5,0.6556666666666666,15.566666666666668,14.233333333333334,0.10000000000000009,1.8833333333333364,0.26666666666666505,13.416666666666671
blur,6,0.6556666666666666,15.566666666666668,13.3,-0.9333333333333332,2.8277777777777806,1.0277777777777792,11.71111111111111
