feature_index,valid_sample_count,mean_clean_activation,mean_blur_activation,mean_signed_change,mean_absolute_change,mean_change_correct_to_correct,mean_change_correct_to_wrong,group_change_difference,clean_activation_frequency,blur_activation_frequency,pearson_with_delta_margin,pearson_pvalue,pearson_qvalue,spearman_with_delta_margin,spearman_pvalue,spearman_qvalue
19861,50,10.269134273529053,11.673170928955079,1.4040364027023315,1.788632869720459,1.3566464185714722,0.8620365262031555,-0.49460989236831665,0.9984693877551021,0.9997959183673469,0.3599092432640156,0.0102511984323509,0.9833011361316991,0.46314525810324125,0.000706743089599205,0.7590420782295462
3867,50,11.005920028686523,11.711063346862794,0.7051432728767395,1.5651081800460815,0.4231969714164734,0.1842820644378662,-0.23891490697860718,0.9988775510204082,0.9990816326530613,0.34854219611252113,0.013117691870641372,0.9833011361316991,0.37565426170468186,0.007180961463516408,0.9952762198263317
3405,50,10.535805778503418,10.662528266906738,0.12672246992588043,1.3626227378845215,-0.0793716087937355,-0.4302668273448944,-0.3508952260017395,0.9994897959183674,0.9953061224489796,0.352783953253614,0.011976583527479469,0.9833011361316991,0.3522208883553421,0.012122973568062655,0.9952762198263317
20361,50,10.076674823760987,10.761985511779786,0.6853107213973999,1.3377299308776855,0.5160641074180603,1.984879493713379,1.4688153266906738,0.9977551020408163,0.9983673469387755,-0.34744231535061376,0.013428343602487638,0.9833011361316991,-0.34501800720288117,0.014135362467007482,0.9952762198263317
22143,50,8.953975849151611,9.680710334777832,0.726734459400177,1.3512028455734253,0.4042324423789978,1.9418201446533203,1.5375876426696777,0.9387755102040817,0.9422448979591836,-0.3297321396649883,0.019366443734171398,0.9833011361316991,-0.3443457382953181,0.014336964011880272,0.9952762198263317
10100,50,10.1267041015625,10.4964568901062,0.3697526454925537,1.5149693489074707,-0.08082538098096848,1.7314437627792358,1.8122690916061401,0.9976530612244898,0.9993877551020408,-0.3772493347299728,0.0069199805114322395,0.9833011361316991,-0.34012004801920764,0.015661240466766816,0.9952762198263317
4488,50,7.9427170753479,8.409155921936035,0.46643880009651184,1.0584039688110352,0.06879537552595139,1.6094045639038086,1.5406092405319214,0.9985714285714286,0.9986734693877551,-0.34547866627357526,0.013998621634978649,0.9833011361316991,-0.3380072028811525,0.016361543963245597,0.9952762198263317
10585,50,10.056933937072754,10.706904258728027,0.6499701142311096,1.342627763748169,-0.0370846651494503,2.356884241104126,2.3939688205718994,0.9970408163265306,0.9986734693877551,-0.370612608566212,0.00806290891372971,0.9833011361316991,-0.3366626650660264,0.016820919561932605,0.9952762198263317
7341,50,9.807091598510743,10.52576955795288,0.7186779975891113,1.298988938331604,0.42726853489875793,1.3998035192489624,0.9725350141525269,0.9988775510204082,0.9992857142857143,-0.24220456804892468,0.09013938117746215,0.9833011361316991,-0.3362785114045618,0.01695416579500534,0.9952762198263317
8068,50,9.824607734680177,11.526874389648437,1.7022663354873657,1.9927140474319458,0.9790872931480408,3.3561437129974365,2.377056360244751,0.9986734693877551,0.9990816326530613,-0.35413443573508174,0.011631644395960435,0.9833011361316991,-0.3302280912364946,0.019174048424877698,0.9952762198263317
8012,50,7.873283443450927,8.879169101715087,1.0058856010437012,1.386765718460083,0.6180754899978638,2.087871789932251,1.4697962999343872,0.9396938775510204,0.9455102040816327,-0.31240426689088363,0.02719091382439407,0.9833011361316991,-0.3200480192076831,0.0234635250302679,0.9952762198263317
18473,50,8.447237701416016,8.907699756622314,0.46046197414398193,0.910662055015564,0.5150994062423706,0.09703858941793442,-0.4180608093738556,0.9444897959183673,0.9496938775510204,0.3272455432986969,0.020355874592508448,0.9833011361316991,0.3182232893157263,0.024311847498337553,0.9952762198263317
10528,50,8.54413164138794,9.317001285552978,0.772869348526001,1.1149004697799683,0.5520793199539185,1.4001001119613647,0.8480207920074463,0.9989795918367347,0.9997959183673469,-0.28505491744517825,0.04480255044210218,0.9833011361316991,-0.3176470588235294,0.024585027875334915,0.9952762198263317
3457,50,9.7025270652771,10.365878772735595,0.6633517742156982,1.1006197929382324,0.5648297071456909,0.5170473456382751,-0.04778236150741577,0.9994897959183674,0.9992857142857143,0.11548181914790068,0.4245205177172406,0.9901066683689362,0.312172869147659,0.02731105081561385,0.9952762198263317
10312,50,10.14658567428589,11.269427185058595,1.1228415966033936,1.837186336517334,0.8390387296676636,1.2287670373916626,0.389728307723999,0.9985714285714286,0.9977551020408163,0.21100077102478965,0.14132330889843078,0.9833011361316991,0.3112124849939976,0.02781441253826002,0.9952762198263317
23808,50,8.690859127044678,9.695395832061768,1.0045366287231445,1.6213700771331787,0.5332346558570862,2.497600793838501,1.9643661975860596,0.9834693877551021,0.9895918367346939,-0.2847705081230157,0.04502569928887453,0.9833011361316991,-0.3105402160864345,0.02817135463246212,0.9952762198263317
1486,50,9.747541217803954,11.140601692199708,1.3930604457855225,1.8224284648895264,1.0144093036651611,1.3782634735107422,0.36385416984558105,0.9972448979591837,0.9986734693877551,0.18130037174737265,0.20765679741449997,0.9833011361316991,0.30929171668667466,0.02884438870660877,0.9952762198263317
23307,50,9.94101640701294,10.713935890197753,0.7729194760322571,1.4398102760314941,0.680311381816864,1.5165433883666992,0.8362320065498352,0.9965306122448979,0.9989795918367347,-0.2848848621259912,0.044935867790562425,0.9833011361316991,-0.30679471788715484,0.03023070527190132,0.9952762198263317
22313,50,9.169748268127442,10.262673835754395,1.092925786972046,1.320336937904358,0.7706276178359985,1.4959659576416016,0.725338339805603,0.9993877551020408,0.9997959183673469,0.25013468099356684,0.07978202400456583,0.9833011361316991,0.3024729891956782,0.032760974243291066,0.9952762198263317
4294,50,10.604456195831299,11.53093111038208,0.9264750480651855,1.8392916917800903,0.3190494477748871,2.8662002086639404,2.5471508502960205,0.9995918367346939,0.9988775510204082,-0.3487595097378889,0.013057047035213543,0.9833011361316991,-0.30045618247298916,0.03400049515185494,0.9952762198263317
23543,50,0.29198515295982364,0.28858776926994323,-0.003397382562980056,0.05694076046347618,-0.006563794333487749,0.014606482349336147,0.021170277148485184,0.05857142857142857,0.05663265306122449,-0.24626622320675337,0.08471091172792894,0.9833011361316991,-0.29584633853541414,0.03697991691970869,0.9952762198263317
397,50,9.09878402709961,10.181338691711426,1.0825546979904175,1.4245883226394653,0.6489429473876953,2.126969575881958,1.4780266284942627,0.9989795918367347,0.9983673469387755,-0.283120709337235,0.046338103477728904,0.9833011361316991,-0.29517406962785114,0.03743187773002154,0.9952762198263317
19514,50,7.682827587127686,8.45823802947998,0.7754104733467102,1.2084298133850098,0.4934120774269104,1.3313056230545044,0.837893545627594,0.996734693877551,0.9991836734693877,-0.2082567208027437,0.146691303464489,0.9833011361316991,-0.28797118847539016,0.042566123666693774,0.9952762198263317
13024,50,11.112264862060547,12.392334976196288,1.2800700664520264,1.7288310527801514,0.6200512647628784,3.0584676265716553,2.4384164810180664,0.9976530612244898,0.9993877551020408,-0.276691371074818,0.051753301714893535,0.9833011361316991,-0.28720288115246095,0.043146258409119315,0.9952762198263317
5411,50,10.518262786865234,11.870586776733399,1.3523242473602295,1.7775988578796387,0.8614813685417175,2.7704038619995117,1.9089224338531494,0.9985714285714286,0.9983673469387755,-0.3479565056450582,0.013282340310181238,0.9833011361316991,-0.28624249699879956,0.043880508173314646,0.9952762198263317
12018,50,10.263362159729004,11.565302639007568,1.3019404411315918,1.708043098449707,1.1630878448486328,1.9330047369003296,0.7699168920516968,0.9978571428571429,0.9991836734693877,-0.16171588806766693,0.26186840859273147,0.9833011361316991,-0.28528211284513805,0.04462494150408548,0.9952762198263317
15824,50,10.078352794647216,10.683870124816895,0.6055172681808472,1.2274823188781738,0.3063601553440094,1.669934630393982,1.363574504852295,0.9987755102040816,0.9994897959183674,-0.4106049696332671,0.0030583888775453406,0.9833011361316991,-0.284609843937575,0.045152157685187246,0.9952762198263317
7814,50,9.908509292602538,10.926186294555665,1.017676830291748,1.3331407308578491,0.7141947746276855,1.9611161947250366,1.246921420097351,0.9978571428571429,0.9992857142857143,-0.3369410054801919,0.016724932317898837,0.9833011361316991,-0.2838415366146458,0.045760904897916524,0.9952762198263317
22123,25,0.1823102419450879,0.1704453295469284,-0.011864912696182728,0.0674641877412796,-0.03602331504225731,0.0059879072941839695,0.04201122373342514,0.018367346938775512,0.017244897959183672,-0.0735593556612866,0.726758339291515,0.9989285729703453,0.28307692307692306,0.1703248410308103,0.9952762198263317
18791,50,10.71038745880127,11.480852279663086,0.7704648375511169,1.2221715450286865,0.6439779996871948,0.8465579152107239,0.20257991552352905,0.938469387755102,0.9419387755102041,0.16631170403559564,0.24837002057714533,0.9833011361316991,0.28268907563025214,0.04668656337270081,0.9952762198263317
20288,50,10.232750282287597,10.770206146240234,0.5374559164047241,1.572912335395813,0.12999224662780762,0.41498371958732605,0.28499147295951843,0.9987755102040816,0.9991836734693877,0.2477317313676778,0.08281634925582615,0.9833011361316991,0.2802881152460984,0.048664042328694083,0.9952762198263317
9220,50,8.77642972946167,9.61467041015625,0.8382406830787659,1.127566933631897,0.585957407951355,1.6182432174682617,1.0322858095169067,0.9396938775510204,0.9430612244897959,-0.32569387084391577,0.02099466925872956,0.9833011361316991,-0.2751020408163265,0.05316807849876854,0.9952762198263317
2614,50,10.660487117767333,11.362485103607177,0.7019979953765869,1.4015820026397705,0.20879651606082916,1.01112699508667,0.802330493927002,0.9962244897959184,0.996938775510204,0.2121516412129134,0.13911598026858196,0.9833011361316991,0.27385354141656665,0.05430125997895698,0.9952762198263317
2932,50,10.580969314575196,10.92402614593506,0.3430567979812622,1.3169333934783936,0.03673376515507698,1.1006007194519043,1.0638669729232788,0.9998979591836735,0.9989795918367347,-0.11173578820245995,0.4397997414076396,0.9901066683689362,-0.268859543817527,0.05903058455193177,0.9952762198263317
19148,50,10.352783660888672,10.974653301239014,0.621869683265686,1.264461636543274,0.6652577519416809,0.08482512086629868,-0.580432653427124,0.9973469387755102,0.9976530612244898,0.2751142344376404,0.05315710621179053,0.9833011361316991,0.26626650660264106,0.06161366531996931,0.9952762198263317
2425,50,0.33075294017791745,0.32217913150787353,-0.008573809638619423,0.0665614902973175,-0.03157540038228035,0.013927911408245564,0.04550331085920334,0.059387755102040814,0.056428571428571425,-0.10833057240654106,0.45394998371101175,0.9901066683689362,-0.26569027611044416,0.062199808887774335,0.9952762198263317
11676,50,9.034685611724854,9.610735626220704,0.5760501623153687,1.430173397064209,0.03615038841962814,1.8550008535385132,1.8188505172729492,0.9990816326530613,0.998265306122449,-0.20334247589845642,0.1566797051868723,0.9833011361316991,-0.26482593037214885,0.06308739069885355,0.9952762198263317
16103,50,8.298644714355468,9.103619728088379,0.8049749732017517,1.2498910427093506,0.8350534439086914,1.2798418998718262,0.44478845596313477,0.9981632653061224,0.9994897959183674,-0.3317248534150837,0.018603185769578815,0.9833011361316991,-0.2647298919567827,0.0631866334343195,0.9952762198263317
12002,50,10.451438102722168,11.344509429931641,0.8930711150169373,1.4245837926864624,0.8888601064682007,1.2597404718399048,0.3708803653717041,0.9989795918367347,0.9990816326530613,-0.276181642993598,0.05220368569168088,0.9833011361316991,-0.2638655462184874,0.0640854507661199,0.9952762198263317
15650,50,8.561719074249268,9.464954471588134,0.9032354950904846,1.3951499462127686,0.6218022704124451,1.6566146612167358,1.0348124504089355,0.9988775510204082,0.9989795918367347,-0.20759553636864897,0.14800701697327964,0.9833011361316991,-0.2632893157262905,0.0646903202290035,0.9952762198263317
1317,50,8.549052677154542,9.380917701721192,0.831865131855011,1.2945233583450317,0.4790058135986328,1.8346999883651733,1.3556941747665405,1.0,0.9993877551020408,-0.3761318614352274,0.0071019356003330335,0.9833011361316991,-0.26319327731092435,0.06479157382599328,0.9952762198263317
1871,50,9.324003067016601,10.02803367614746,0.704030454158783,1.15596342086792,0.6846634745597839,0.4337950050830841,-0.25086846947669983,0.9958163265306123,0.9997959183673469,0.3032061823262568,0.0323197460312816,0.9833011361316991,0.261656662665066,0.06642891656266883,0.9952762198263317
10437,50,9.734071884155274,10.693346176147461,0.9592742919921875,1.3808990716934204,0.5099001526832581,2.130742311477661,1.6208422183990479,0.9974489795918368,0.9988775510204082,-0.1555100079993047,0.2808614000821062,0.9833011361316991,-0.2611764705882353,0.06694729922761215,0.9952762198263317
14984,50,65.0112582397461,66.50520858764648,1.4939510822296143,5.152890682220459,-0.02344444766640663,3.320579767227173,3.344024181365967,1.0,0.9996938775510205,-0.1700780843524609,0.23766531203432073,0.9833011361316991,-0.2606002400960384,0.06757360929381802,0.9952762198263317
24117,50,10.213704795837403,10.668168334960937,0.45446354150772095,1.448868989944458,-0.1410645991563797,2.196152925491333,2.3372175693511963,0.9995918367346939,0.9990816326530613,-0.3029863529751065,0.032451516601239606,0.9833011361316991,-0.26002400960384153,0.06820457812968254,0.9952762198263317
17130,50,10.083653869628906,10.735731239318847,0.652077317237854,1.296854853630066,0.47736141085624695,1.2642381191253662,0.7868766784667969,0.9977551020408163,0.9993877551020408,-0.29458602121225314,0.03783094074842842,0.9833011361316991,-0.25935174069627853,0.06894662692349268,0.9952762198263317
2215,50,8.983858776092529,9.485342979431152,0.5014840960502625,1.4576727151870728,-0.061947327107191086,1.6807317733764648,1.7426791191101074,0.9993877551020408,0.9966326530612245,-0.24398331039075732,0.08772962387938037,0.9833011361316991,-0.25791116446578627,0.07055835617440333,0.9952762198263317
20309,50,0.27359570145606993,0.3409139198064804,0.06731821596622467,0.0772593766450882,0.05847734585404396,0.08353925496339798,0.02506190910935402,0.05887755102040816,0.05653061224489796,-0.1381684745664169,0.3386240520745854,0.9833011361316991,-0.2564705882352941,0.07219986568361518,0.9952762198263317
16242,50,10.241551494598388,11.091650848388673,0.8500992059707642,1.4685691595077515,0.1039014533162117,2.3678863048553467,2.2639849185943604,0.998265306122449,0.9997959183673469,-0.1497846323951319,0.2991676448376838,0.9833011361316991,-0.2562785114045618,0.07242100276516225,0.9952762198263317
1297,50,6.1269433975219725,6.4269571876525875,0.30001378059387207,0.7325379848480225,0.36002078652381897,-0.14530539512634277,-0.5053261518478394,0.9385714285714286,0.9418367346938775,0.3093208807302291,0.02882851559953634,0.9833011361316991,0.2560864345738295,0.07264267642935449,0.9952762198263317
2686,50,10.432796230316162,10.527295570373536,0.09449934959411621,1.3092410564422607,-0.29721805453300476,0.31765690445899963,0.6148749589920044,0.9993877551020408,0.998265306122449,0.257130558969082,0.07144412236357117,0.9833011361316991,0.25474189675870346,0.0742094870889407,0.9952762198263317
20683,50,9.274763107299805,10.560124702453614,1.285361647605896,1.5249192714691162,0.7900956273078918,2.3074731826782227,1.5173776149749756,0.9994897959183674,0.9998979591836735,-0.21713712806980057,0.12985008537001594,0.9833011361316991,-0.2546458583433373,0.07432241743299782,0.9952762198263317
17082,50,7.824473400115966,8.901378688812256,1.0769054889678955,1.3683710098266602,0.7646064758300781,1.567013144493103,0.8024066686630249,0.9971428571428571,0.998061224489796,0.1736857706641156,0.22771166592268466,0.9833011361316991,0.25406962785114046,0.07500285778726266,0.9952762198263317
