condition,selected_minus_mixed_pp,ci_low_pp,ci_high_pp,no_repair_fraction,mixed_recoveries_skipped,mixed_damages_avoided
clean,0.336360578540195,-0.9418096199125462,1.5472586612848973,0.8698284561049444,20.666666666666668,21.666666666666668
shot_noise,-0.9418096199125463,-2.1527077026572488,0.20181634712411706,0.7648839556004036,19.666666666666668,19.0
impulse_noise,-0.10090817356205849,-1.3454423141607803,1.1108308106289824,0.8395560040363269,25.333333333333332,25.333333333333332
defocus,-0.6054490413723511,-1.7490750084090148,0.5381769256643122,0.665321224352506,16.0,12.0
jpeg,0.9754456777665655,-0.3363605785401951,2.219979818365288,0.8755465859401278,23.0,27.333333333333332
pixelate,-0.16818028927009754,-1.2781701984527412,0.909014463504865,0.8644466868483014,20.333333333333332,17.333333333333332
brightness,-0.8745375042045072,-2.0181634712411705,0.23545240497813663,0.8688193743693239,22.333333333333332,17.666666666666668
contrast,0.8072653884964682,-0.16818028927009757,1.8499831819710728,0.84493777329297,15.666666666666666,17.0
