feature_index,valid_sample_count,mean_clean_activation,mean_blur_activation,mean_signed_change,mean_absolute_change,mean_change_correct_to_correct,mean_change_correct_to_wrong,group_change_difference,clean_activation_frequency,blur_activation_frequency,pearson_with_delta_margin,pearson_pvalue,pearson_qvalue,spearman_with_delta_margin,spearman_pvalue,spearman_qvalue
6730,1000,9.353328063964844,10.237076370239258,0.8837482929229736,1.4335883855819702,0.7574213743209839,1.2522125244140625,0.4947911500930786,0.9454948979591836,0.9494540816326531,-0.15757305216823478,5.500363989710466e-07,0.0001969130308316347,-0.1473825513825514,2.8631874444826484e-06,0.0030750633153743645
3122,1000,9.316377855300903,10.389797147750855,1.073419213294983,1.4442764520645142,0.9636415243148804,1.3870803117752075,0.42343878746032715,0.9983469387755102,0.9993367346938775,-0.11524022441492512,0.0002603775679181855,0.028570612820131187,-0.1412868692868693,7.297891452674496e-06,0.003918967710086204
22739,1000,16.02256206893921,22.722357244491576,6.699795246124268,6.838314533233643,5.965295791625977,8.550597190856934,2.585301399230957,0.9983775510204081,0.9995255102040816,-0.17118384146525206,5.128673013309726e-08,5.5081948162946455e-05,-0.125995121995122,6.462228805103807e-05,0.023134779122271628
6966,1000,16.406473894119262,21.02083200454712,4.614358425140381,4.903812408447266,3.9888997077941895,6.177375793457031,2.188476085662842,0.9984591836734694,0.9989030612244898,-0.15778991842102982,5.304391053866044e-07,0.0001969130308316347,-0.119785746504461,0.00014651751905337272,0.03933995386583058
17814,1000,21.373926906585694,25.362353328704835,3.9884262084960938,4.526103496551514,3.4781534671783447,5.110954761505127,1.6328012943267822,0.9986479591836734,0.9994081632653061,-0.15531140896887224,8.006406907708837e-07,0.00021497202547198229,-0.11605318405318406,0.00023528449327479294,0.05053910915542552
14190,1000,10.025284317016602,10.767879813194275,0.7425954341888428,1.3660938739776611,0.6077593564987183,1.1747616529464722,0.5670022964477539,0.9981989795918368,0.9988469387755102,-0.12892332229697426,4.3344332065198584e-05,0.0078566802525093,-0.11339972939972941,0.0003267354291527862,0.05848564181834873
5411,1000,10.663120107650757,11.487154340744018,0.8240341544151306,1.4934114217758179,0.70696622133255,1.2962243556976318,0.5892581343650818,0.9985306122448979,0.9989795918367347,-0.1077417341058174,0.0006430615651635633,0.03738826477043575,-0.11150072750072751,0.0004115362630448035,0.063141420930017
22662,1000,9.603737122535705,9.80161834335327,0.19788122177124023,1.0688813924789429,0.0912768766283989,0.4200231730937958,0.3287462890148163,0.9985051020408163,0.9984489795918368,-0.07075121536912557,0.025263093869142356,0.18332812713147897,-0.10760545160545161,0.0006533830692922157,0.07466826583296254
23896,1000,7.728931715965271,8.002256350517273,0.2733246088027954,0.936182975769043,0.2002645581960678,0.4601184129714966,0.2598538398742676,0.9970816326530613,0.9971683673469388,-0.10238975734816336,0.001185593674487969,0.04908081511273595,-0.10714970314970317,0.000689027659729703,0.07466826583296254
2046,1000,10.823322532653808,11.171173828125,0.34785130620002747,1.441695213317871,0.2566957473754883,0.7544636130332947,0.4977678656578064,0.9986734693877551,0.9990663265306122,-0.03861612083571995,0.22243578909091127,0.5238321448173239,-0.10707257907257908,0.0006952352498413645,0.07466826583296254
