blur_feature,matched_noise_feature,decoder_cosine,noise_mean_change,noise_direction_consistency,noise_margin_correlation,noise_margin_qvalue,noise_failure_associated
22739,2339,0.331826388835907,1.8002564907073975,0.797,-0.1455956995487213,9.221664124479841e-22,True
6966,6966,0.724854588508606,1.5296547412872314,0.7486,-0.13911211490631104,5.345994722189132e-20,True
17814,17814,0.8260523080825806,0.8963491320610046,0.6,-0.11178307980298996,1.93137014483841e-12,True
16639,16639,0.4318277835845947,-0.24252991378307343,0.5692,-0.015542753040790558,0.9733200620813488,False
4877,4877,0.4820351302623749,-0.10172522813081741,0.519,-0.002509585814550519,0.9975714498509674,False
16319,16319,0.35704389214515686,0.27412644028663635,0.5746,-0.04274239018559456,0.05826107477769256,False
23934,23934,0.23699158430099487,0.0,0.0,0.0,1.0,False
24140,24140,0.45764943957328796,-0.06329048424959183,0.5158,-0.02456534467637539,0.4949315184911757,False
4110,4110,0.3540397882461548,-0.14560477435588837,0.5428,-0.03712346404790878,0.12317675921688045,False
14024,14024,0.6354833245277405,2.3645541667938232,0.8504,-0.15758951008319855,1.5577528144803293e-25,True
24203,24203,0.41982728242874146,-0.4052702486515045,0.611,-0.016635654494166374,0.9138646038674976,False
4211,4211,0.5502813458442688,-0.9257633686065674,0.7248,-0.015164087526500225,0.9835607971450173,False
4802,15058,0.6478419899940491,-0.022013777866959572,0.5136,-0.037550512701272964,0.12317675921688045,False
6095,6095,0.43021833896636963,-0.32545870542526245,0.578,-0.03410898149013519,0.17563421035946794,False
21781,21781,0.63805091381073,-0.2585061192512512,0.552,0.018347781151533127,0.8110706895618679,False
21607,21607,0.3518991470336914,0.0,0.0,0.0,1.0,False
23241,23241,0.5149686336517334,-0.12910638749599457,0.544,-0.0077740405686199665,0.9975714498509674,False
19138,19138,0.4379764795303345,0.04008069634437561,0.5012,-0.04025159776210785,0.09059088066486376,False
8155,8155,0.3830050826072693,0.29114142060279846,0.5696,-0.0484289675951004,0.019860643864595295,False
14446,14446,0.4883112907409668,0.13419003784656525,0.5448,0.034927066415548325,0.15521148086587588,False
15296,15296,0.22590842843055725,0.0,0.0,0.0,1.0,False
15982,15982,0.6127036809921265,-0.9073224663734436,0.6964,0.007386961951851845,0.9975714498509674,False
8984,8984,0.4617675542831421,-9.776514708903505e-09,0.0002,0.0004051169380545616,0.9975714498509674,False
21588,21588,0.589032769203186,0.35013121366500854,0.568,-0.050629016011953354,0.012470599040448255,False
13096,13096,0.49213796854019165,-0.06052425503730774,0.5122,-0.01886066608130932,0.801391227087196,False
489,489,0.4732215404510498,-0.1340315341949463,0.5396,-0.023890165612101555,0.5257067895198921,False
20540,20540,0.43068045377731323,0.21942831575870514,0.5518,-0.009753001853823662,0.9975714498509674,False
3414,3414,0.2954184412956238,0.0,0.0,0.0,1.0,False
14190,24467,0.1563623994588852,0.0,0.0,0.0,1.0,False
22566,22566,0.34517574310302734,0.11851134151220322,0.5412,0.0234663262963295,0.5414761093386087,False
3050,3050,0.5091814994812012,0.318241149187088,0.581,-0.060981493443250656,0.0014318881418754852,False
13386,13386,0.4245085120201111,-0.31115859746932983,0.5796,-0.019728753715753555,0.742258935221658,False
